.9236,0.0037
0.1438,-0.9814,-0.0757
0.1431,-0.9788,-0.0793
0.1426,-0.9778,-0.0818
0.1401,-0.9810,-0.0828
0.1382,-0.9861,-0.0874
0.1379,-0.9873,-0.0891
0.1365,-0.9866,-0.0872
0.1284,-0.9866,-0.0806
0.1206,-0.9834,-0.0725
0.1155,-0.9788,-0.0713
0.1108,-0.9785,-0.0693
0.1101,-0.9788,-0.0669
0.1128,-0.9778,-0.0686
0.1169,-0.9766,-0.0706
0.1196,-0.9753,-0.0750
0.1206,-0.9756,-0.0786
0.1211,-0.9763,-0.0776
0.1233,-0.9768,-0.0793
0.1248,-0.9756,-0.0820
0.1255,-0.9751,-0.0793
0.1282,-0.9766,-0.0732
0.1272,-0.9744,-0.0691
0.1230,-0.9746,-0.0676
0.1216,-0.9795,-0.0654
0.1208,-0.9802,-0.0610
0.1199,-0.9834,-0.0564
0.1187,-0.9871,-0.0542
0.1206,-0.9856,-0.0554
0.1245,-0.9805,-0.0559
0.1194,-0.9778,-0.0623
0.1204,-0.9790,-0.0598
0.1238,-0.9822,-0.0593
0.1265,-0.9883,-0.0559
0.1299,-0.9917,-0.0532
0.1333,-0.9902,-0.0515
0.1333,-0.9861,-0.0508
0.1306,-0.9819,-0.0522
0.1265,-0.9819,-0.0520
0.1216,-0.9836,-0.0554
0.1204,-0.9832,-0.0544
0.1199,-0.9807,-0.0496
0.1138,-0.9778,-0.0505
0.1108,-0.9783,-0.0493
0.1150,-0.9836,-0.0457
0.1208,-0.9878,-0.0457
0.1257,-0.9917,-0.0457
0.1287,-0.9944,-0.0432
0.1338,-0.9917,-0.0410
0.1387,-0.9871,-0.0415
0.1416,-0.9849,-0.0444
0.1428,-0.9819,-0.0471
0.1445,-0.9812,-0.0483
0.1470,-0.9836,-0.0466
0.1455,-0.9863,-0.0442
0.1455,-0.9900,-0.0427
0.1484,-0.9941,-0.0422
0.1506,-1.0010,-0.0449
0.1531,-1.0051,-0.0530
0.1646,-1.0056,-0.0603
0.1829,-1.0081,-0.0593
0.1946,-1.0110,-0.0596
0.2046,-1.0105,-0.0647
0.2168,-1.0105,-0.0662
0.2278,-1.0125,-0.0676
0.2397,-1.0156,-0.0720
0.2498,-1.0212,-0.0747
0.2517,-1.0249,-0.0737
0.2405,-1.0247,-0.0713
0.2205,-1.0251,-0.0667
0.2043,-1.0266,-0.0640
